Distance from the cathode,nH,Err,nCH,Err,nC2,Err
mm,m\+(-3),,m\+(-3),,m\+(-3),
6.74549098196393,4.1322199534705E20,1.85949897906172E20,810423551860931,324169420744372,4.75020034690554E17,1.90008013876222E17
6.77955911823647,4.17351862046272E20,1.87808337920822E20,815834168830692,326333667532277,4.70788960581618E17,1.88315584232647E17
6.81362725450902,4.21285957713439E20,1.89578680971048E20,825013752394791,330005500957916,4.66007974582118E17,1.86403189832847E17
6.84769539078156,4.35220338058007E20,1.95849152126103E20,831801698665780,332720679466312,4.60402120746772E17,1.84160848298709E17
6.88176352705411,4.26560497517724E20,1.91952223882976E20,834956778162426,333982711264970,4.54796266911426E17,1.8191850676457E17
6.91583166332665,3.96282729587615E20,1.78327228314427E20,838111857659072,335244743063629,4.49219890432091E17,1.79687956172836E17
6.9498997995992,4.27100199130608E20,1.92195089608774E20,821437883230398,328575153292159,4.43718844973671E17,1.77487537989468E17
6.98396793587174,4.44741355688882E20,2.00133610059997E20,802299280630214,320919712252086,4.38217799515251E17,1.752871198061E17
7.01803607214429,4.32011425126777E20,1.9440514130705E20,793919645171699,317567858068680,4.33236817280261E17,1.73294726912104E17
7.05210420841683,4.03535335889748E20,1.81590901150387E20,802952548639834,321181019455934,4.30936160889098E17,1.72374464355639E17
7.08617234468938,3.77882002444918E20,1.70046901100213E20,811985452107967,324794180843187,4.28635504497935E17,1.71454201799174E17
7.12024048096192,3.78017475661155E20,1.7010786404752E20,814088966434817,325635586573927,4.26383407460093E17,1.70553362984037E17
7.15430861723447,3.85067341398111E20,1.7328030362915E20,815196878873550,326078751549420,4.25192679144852E17,1.70077071657941E17
7.18837675350701,3.95385728951775E20,1.77923578028299E20,811997472762767,324798989105107,4.24001950829611E17,1.69600780331844E17
7.22244488977956,3.97043473226789E20,1.78669562952055E20,801363516826792,320545406730717,4.22811222514369E17,1.69124489005748E17
7.2565130260521,3.88077218261732E20,1.74634748217779E20,790729560890816,316291824356326,4.22833609130058E17,1.69133443652023E17
7.29058116232465,3.68146451260451E20,1.65665903067203E20,775685132613002,310274053045201,4.22954356415822E17,1.69181742566329E17
7.32464929859719,3.5254664435153E20,1.58645989958189E20,759918521729506,303967408691802,4.23075103701586E17,1.69230041480634E17
7.35871743486974,3.44794822451652E20,1.55157670103243E20,745066797531024,298026719012410,4.22575315045355E17,1.69030126018142E17
7.39278557114228,3.51280555469891E20,1.58076249961451E20,731901078794923,292760431517969,4.21926405348799E17,1.6877056213952E17
